# =============================================================================
# HexMaps target_definitions.txt
# =============================================================================
# Comma-separated table of target parameters.
# Spaces and tabs around each comma are ignored; so feel free to align
# columns with extra whitespace for readability.
# All targets that may ever be used should be listed here.
# The targets actually processed are defined in config.txt [sources].
#
# Columns (comma-separated; no header row):
# [required]
#   target       - target name (must match the FITS filename prefix)
#   x_ctr        - x-coordinate of target centre (e.g. RA in degrees; read from FITS header of overlay file)
#   y_ctr        - y-coordinate of target centre (e.g. Dec in degrees; read from FITS header of overlay file)
#   dist_mpc     - Distance (Mpc)
#   e_dist_mpc   - Uncertainty of distance (Mpc)
# [optional]
#   incl_deg     - Inclination (degrees)
#   e_incl_deg   - Uncertainty of inclination (degrees)
#   posang_deg   - Position angle (degrees; East of North)
#   e_posang_deg - Uncertainty of position angle (degrees)
#   r25          - Optical radius r25 (arcmin)
#   e_r25        - Uncertainty of r25 (arcmin)
# =============================================================================
# target,       x_ctr,      y_ctr,      dist_mpc,   e_dist_mpc,   incl_deg,   e_incl_deg,   posang_deg,   e_posang_deg,   r25,     e_r25
eso097-013,     213.2912,   -65.3391,   4.20,       0.71,         64.3,       5.0,          36.7,         10.0,           4.37,    1.13
ic0010,         5.0963,     59.2931,    0.79,       0.05,         129.0,      5.0,          31.1,         10.0,           3.34,    0.87
ic0342,         56.7021,    68.0961,    3.45,       0.13,         31.0,       5.0,          42.0,         3.0,            9.88,    2.56
ic1954,         52.8797,    -51.9049,   12.80,      2.00,         57.1,       0.7,          63.4,         0.2,            1.50,    0.39
ic1993,         56.7699,    -33.7097,   18.09,      2.54,         21.3,       5.0,          353.5,        10.0,           1.41,    0.36
ic5273,         344.8612,   -37.7028,   14.18,      1.99,         52.0,       2.1,          234.1,        2.0,            1.53,    0.40
ic5332,         353.6145,   -36.1011,   9.01,       0.39,         26.9,       5.0,          74.4,         10.0,           3.03,    0.79
ngc0224,        10.6847,    41.2690,    0.82,       0.05,         77.7,       5.0,          38.0,         10.0,           88.91,   23.02
ngc0247,        11.7857,    -20.7605,   3.71,       0.13,         76.4,       5.0,          167.4,        10.0,           9.84,    2.55
ngc0253,        11.8880,    -25.2884,   3.70,       0.12,         75.0,       5.0,          52.5,         10.0,           13.40,   3.47
ngc0278,        13.0179,    47.5505,    11.50,      1.62,         25.0,       5.0,          161.0,        10.0,           1.18,    0.30
ngc0300,        13.7230,    -37.6845,   2.09,       0.09,         39.8,       5.0,          114.3,        10.0,           9.70,    2.51
ngc0598,        23.4621,    30.6599,    0.94,       0.04,         58.0,       5.0,          200.0,        10.0,           31.04,   8.04
ngc0628,        24.1739,    15.7836,    9.84,       0.61,         8.9,        12.2,         20.7,         1.0,            4.94,    1.28
ngc0685,        26.9285,    -52.7620,   19.94,      2.80,         23.0,       43.4,         100.9,        2.8,            1.51,    0.39
ngc0891,        35.6395,    42.3476,    9.97,       0.44,         90.0,       5.0,          22.0,         10.0,           6.52,    1.69
ngc1068,        40.6697,    -0.0133,    13.97,      1.96,         34.7,       5.0,          72.7,         10.0,           3.05,    0.79
ngc1087,        41.6049,    -0.4987,    15.85,      2.08,         42.9,       3.9,          359.1,        1.2,            1.49,    0.38
ngc1097,        41.5790,    -30.2747,   13.58,      1.91,         48.6,       6.0,          122.4,        3.6,            5.28,    1.37
ngc1291,        49.3275,    -41.1080,   9.08,       0.50,         29.3,       5.0,          137.6,        10.0,           5.58,    1.45
ngc1300,        49.9208,    -19.4111,   18.99,      2.67,         31.8,       6.0,          278.0,        1.0,            2.97,    0.77
ngc1313,        49.5655,    -66.4979,   4.32,       0.17,         34.8,       5.0,          23.4,         10.0,           5.53,    1.43
ngc1317,        50.6845,    -37.1038,   19.11,      0.84,         23.2,       7.5,          221.5,        2.9,            1.53,    0.40
ngc1326,        50.9849,    -36.4645,   18.34,      1.73,         52.7,       5.0,          70.9,         10.0,           2.14,    0.55
ngc1365,        53.4015,    -36.1404,   19.57,      0.77,         55.4,       6.0,          201.1,        7.5,            6.01,    1.56
ngc1385,        54.3690,    -24.5012,   17.22,      2.42,         44.0,       7.6,          181.3,        4.8,            1.70,    0.44
ngc1433,        55.5062,    -47.2219,   18.63,      1.76,         28.6,       6.0,          199.7,        0.3,            3.10,    0.80
ngc1511,        59.9025,    -67.6339,   15.28,      2.11,         72.7,       1.2,          297.0,        2.1,            1.85,    0.48
ngc1512,        60.9756,    -43.3487,   18.83,      1.78,         42.5,       6.0,          261.9,        4.2,            4.22,    1.09
ngc1546,        63.6512,    -56.0609,   17.69,      1.91,         70.3,       0.6,          147.8,        0.4,            1.85,    0.48
ngc1559,        64.4024,    -62.7834,   19.44,      0.45,         65.4,       8.4,          244.5,        3.0,            2.09,    0.54
ngc1566,        65.0016,    -54.9380,   17.69,      1.91,         29.5,       10.6,         214.7,        4.1,            3.61,    0.94
ngc1637,        70.3674,    -2.8580,    11.70,      0.97,         31.1,       5.0,          20.6,         10.0,           1.59,    0.41
ngc1672,        71.4270,    -59.2473,   19.40,      2.72,         42.6,       12.9,         134.3,        0.4,            3.08,    0.80
ngc1792,        76.3097,    -37.9806,   16.20,      2.28,         65.1,       1.1,          318.9,        0.9,            2.78,    0.72
ngc1809,        75.5207,    -69.5679,   19.95,      4.96,         57.6,       23.6,         138.2,        8.9,            1.87,    0.48
ngc2090,        86.7579,    -34.2506,   11.75,      0.81,         64.5,       0.2,          192.5,        0.6,            2.24,    0.58
ngc2283,        101.4700,   -18.2108,   13.68,      1.92,         43.7,       3.6,          -4.1,         1.0,            1.38,    0.36
ngc2403,        114.2142,   65.6024,    3.19,       0.12,         63.0,       5.0,          124.0,        10.0,           9.98,    2.58
